Timestamp,ForceN,PositionZ,StoppedByForceSensor
2026-03-18T10:45:40.964,0.0,25.00161,0
2026-03-18T10:45:40.064,0.0,25.00161,0
2026-03-18T10:45:40.165,-0.009810001,25.00161,0
2026-03-18T10:45:41.263,0.0,25.00161,0
2026-03-18T10:45:41.364,-0.0,25.00161,0
2026-03-18T10:45:41.464,-0.0,25.00161,0
2026-03-18T10:45:41.564,-0.0,25.00161,0
2026-03-18T10:45:41.664,-0.0,25.00161,0
2026-03-18T10:45:41.766,0.0,25.00161,0
2026-03-18T10:45:41.882,-0.0,25.00161,0
2026-03-18T10:45:41.983,-0.0,25.00161,0
2026-03-18T10:45:41.098,-0.009810001,25.00161,0
2026-03-18T10:45:42.214,-0.0,25.00161,0
2026-03-18T10:45:42.330,-0.009810001,25.00161,0
2026-03-18T10:45:42.431,0.0,25.00161,0
2026-03-18T10:45:42.546,-0.009810001,25.00161,0
2026-03-18T10:45:42.646,0.0,25.00161,0
2026-03-18T10:45:42.748,0.0,25.00161,0
2026-03-18T10:45:42.863,0.009810001,25.00161,0
2026-03-18T10:45:42.964,-0.0,25.00161,0
2026-03-18T10:45:42.064,-0.0,25.00161,0
2026-03-18T10:45:42.163,-0.0,25.00161,0
2026-03-18T10:45:43.266,-0.0,25.00161,0
2026-03-18T10:45:43.379,0.0,25.00161,0
2026-03-18T10:45:43.480,-0.009810001,25.00161,0
2026-03-18T10:45:43.580,-0.009810001,25.00161,0
2026-03-18T10:45:43.680,-0.0,25.00161,0
2026-03-18T10:45:43.796,0.0,25.00161,0
2026-03-18T10:45:43.897,0.0,25.00161,0
2026-03-18T10:45:43.012,-0.0,25.00161,0
2026-03-18T10:45:43.112,-0.009810001,25.00161,0
2026-03-18T10:45:44.212,-0.009810001,25.00161,0
2026-03-18T10:45:44.312,-0.009810001,25.00161,0
2026-03-18T10:45:44.412,-0.0,25.00161,0
2026-03-18T10:45:44.512,-0.0,25.00161,0
2026-03-18T10:45:44.612,-0.0,25.00161,0
2026-03-18T10:45:44.712,-0.0,25.00161,0
2026-03-18T10:45:44.815,-0.009810001,25.00161,0
2026-03-18T10:45:44.916,0.0,25.00161,0
2026-03-18T10:45:44.020,0.0,25.00161,0
2026-03-18T10:45:44.134,-0.0,25.00161,0
2026-03-18T10:45:45.246,-0.009810001,25.00161,0
2026-03-18T10:45:45.347,-0.0,25.00161,0
2026-03-18T10:45:45.446,-0.0,25.00161,0
2026-03-18T10:45:45.561,0.009810001,25.00161,0
2026-03-18T10:45:45.661,-0.0,25.00161,0
2026-03-18T10:45:45.762,-0.009810001,25.00161,0
2026-03-18T10:45:45.861,-0.0,25.00161,0
2026-03-18T10:45:45.962,0.0,25.00161,0
2026-03-18T10:45:45.078,-0.009810001,25.00161,0
2026-03-18T10:45:46.179,-0.0,25.00161,0
2026-03-18T10:45:46.295,-0.009810001,25.00161,0
2026-03-18T10:45:46.398,-0.0,25.00161,0
2026-03-18T10:45:46.512,-0.0,25.00161,0
2026-03-18T10:45:46.612,-0.009810001,25.00161,0
2026-03-18T10:45:46.713,-0.009810001,25.00161,0
2026-03-18T10:45:46.828,-0.009810001,25.00161,0
2026-03-18T10:45:46.927,-0.009810001,25.00161,0
2026-03-18T10:45:46.028,-0.009810001,25.00161,0
2026-03-18T10:45:46.145,-0.009810001,25.00161,0
2026-03-18T10:45:47.245,-0.009810001,25.00161,0
2026-03-18T10:45:47.362,-0.009810001,25.00161,0
2026-03-18T10:45:47.462,-0.0,25.00161,0
2026-03-18T10:45:47.579,-0.009810001,25.00161,0
2026-03-18T10:45:47.694,-0.0,25.00161,0
2026-03-18T10:45:47.794,-0.009810001,25.00161,0
2026-03-18T10:45:47.897,-0.0,25.00161,0
2026-03-18T10:45:47.011,-0.0,25.00161,0
2026-03-18T10:45:47.127,-0.009810001,25.00161,0
2026-03-18T10:45:48.243,-0.009810001,25.00161,0
2026-03-18T10:45:48.343,-0.009810001,25.00161,0
2026-03-18T10:45:48.444,0.0,25.00161,0
2026-03-18T10:45:48.561,-0.009810001,25.00161,0
2026-03-18T10:45:48.677,-0.0,25.00161,0
2026-03-18T10:45:48.777,-0.009810001,25.00161,0
2026-03-18T10:45:48.879,-0.009810001,25.00161,0
2026-03-18T10:45:48.994,-0.0,25.00161,0
